k = 2.840220-0.003609 i
Vec Object: 4 MPI processes
  type: mpi
Process [0]
1.79333e-06 + 1.39421e-06 i
6.45704e-07 - 4.30181e-07 i
7.24199e-07 + 9.34748e-07 i
-1.85621e-07 - 6.38798e-07 i
5.84088e-07 + 7.34659e-07 i
-1.34115e-07 - 5.94291e-07 i
7.10311e-07 + 6.2912e-07 i
-2.94239e-07 - 3.69009e-07 i
5.86289e-07 + 8.0092e-07 i
2.48555e-07 + 9.56221e-08 i
9.7107e-07 - 4.14583e-07 i
9.57015e-13 + 5.34929e-13 i
1.0287e-12 + 1.43735e-13 i
2.96997e-07 - 3.77249e-07 i
-5.32218e-07 - 1.90005e-07 i
6.84632e-07 + 4.96478e-07 i
-4.97336e-07 - 5.53504e-07 i
6.39732e-07 + 7.17798e-07 i
-3.33026e-07 - 7.06959e-07 i
6.58838e-07 + 8.98743e-07 i
-9.7594e-09 - 7.31475e-07 i
8.49847e-07 + 1.13199e-06 i
9.77167e-07 - 5.25947e-07 i
2.38585e-06 + 1.72429e-06 i
5.49352e-06 + 4.1167e-07 i
1.12495e-05 + 2.16526e-06 i
2.92771e-05 - 5.22786e-06 i
2.69176e-05 - 5.24501e-05 i
-0.000130708 - 0.000123545 i
-0.000169777 - 2.43123e-05 i
-0.000164951 + 0.000110699 i
-4.90821e-06 + 0.000162034 i
-3.10597e-08 + 7.3582e-08 i
4.57662e-06 - 0.000161673 i
0.000164153 - 0.000110822 i
0.000168983 + 2.38592e-05 i
0.000130068 + 0.000122255 i
-2.65957e-05 + 5.19399e-05 i
-2.91225e-05 + 5.06556e-06 i
-1.12675e-05 - 2.20261e-06 i
-5.55731e-06 - 5.31177e-07 i
-2.27011e-06 - 1.66467e-06 i
-1.03527e-06 + 4.98052e-07 i
-7.8978e-07 - 1.10216e-06 i
1.91047e-08 + 7.3084e-07 i
-5.64263e-07 - 8.45006e-07 i
-4.58403e-10 + 6.60628e-07 i
-6.56829e-07 - 7.17798e-07 i
1.98141e-07 + 4.12075e-07 i
-5.54312e-07 - 9.21209e-07 i
-3.98045e-07 - 7.53595e-08 i
-1.08832e-06 + 3.87578e-07 i
1.22262e-12 + 2.75724e-13 i
1.34712e-12 + 4.97208e-14 i
-3.42152e-07 + 3.49009e-07 i
4.83328e-07 + 2.59249e-07 i
-6.41473e-07 - 5.88173e-07 i
4.00383e-07 + 6.36267e-07 i
-5.81642e-07 - 8.2511e-07 i
1.94832e-07 + 8.06375e-07 i
-6.26176e-07 - 1.04823e-06 i
-2.17959e-07 + 8.45087e-07 i
-9.31272e-07 - 1.35534e-06 i
-1.50266e-06 + 6.33161e-07 i
-3.00901e-06 - 2.07682e-06 i
-7.22567e-06 - 3.12976e-07 i
-1.40375e-05 - 2.27026e-06 i
-3.50826e-05 + 7.40133e-06 i
-3.05787e-05 + 6.1835e-05 i
0.000148846 + 0.000142864 i
0.000198955 + 2.96858e-05 i
0.000195657 - 0.00012769 i
1.3742e-05 - 0.000190368 i
4.67455e-08 - 7.9949e-08 i
-1.33263e-05 + 0.000189949 i
-0.000194666 + 0.000127875 i
-0.000198014 - 2.90937e-05 i
-0.000148102 - 0.000141326 i
3.01994e-05 - 6.11968e-05 i
3.49056e-05 - 7.18677e-06 i
1.40637e-05 + 2.32934e-06 i
7.30575e-06 + 4.62343e-07 i
2.87072e-06 + 2.01292e-06 i
1.58067e-06 - 6.06315e-07 i
8.55203e-07 + 1.32212e-06 i
2.05994e-07 - 8.44982e-07 i
5.18018e-07 + 9.96544e-07 i
1.72952e-07 - 7.58063e-07 i
5.9334e-07 + 8.3315e-07 i
-8.11317e-08 - 4.77909e-07 i
